iter	Passed	Remaining
863	31873	5017
864	31917	4981
865	31961	4945
866	32005	4909
867	32049	4873
868	32093	4838
869	32140	4802
870	32180	4766
871	32222	4729
872	32261	4693
873	32300	4656
874	32340	4620
875	32379	4583
876	32420	4547
877	32464	4511
878	32505	4474
879	32549	4438
880	32591	4402
881	32632	4365
882	32671	4329
883	32716	4293
884	32755	4256
885	32796	4219
886	32836	4183
887	32879	4147
888	32923	4110
889	32968	4074
890	33010	4038
891	33053	4001
892	33096	3965
893	33140	3929
894	33182	3892
895	33222	3856
896	33265	3819
897	33306	3783
898	33347	3746
899	33387	3709
900	33425	3672
901	33464	3635
902	33504	3599
903	33544	3562
904	33582	3525
905	33622	3488
906	33662	3451
907	33701	3414
908	33740	3377
909	33782	3341
910	33822	3304
911	33864	3267
912	33905	3230
913	33944	3193
914	33983	3156
915	34021	3119
916	34059	3082
917	34098	3045
918	34136	3008
919	34175	2971
920	34217	2935
921	34257	2898
922	34298	2861
923	34337	2824
924	34375	2787
925	34414	2750
926	34456	2713
927	34495	2676
928	34534	2639
929	34574	2602
930	34613	2565
931	34651	2528
932	34690	2491
933	34730	2454
934	34771	2417
935	34811	2380
936	34856	2343
937	34900	2306
938	34941	2269
939	34981	2232
940	35023	2195
941	35063	2158
942	35105	2121
943	35144	2084
944	35183	2047
945	35223	2010
946	35260	1973
947	35299	1936
948	35337	1899
949	35375	1861
950	35415	1824
951	35453	1787
952	35490	1750
953	35533	1713
954	35574	1676
955	35627	1639
956	35673	1602
957	35719	1565
958	35765	1529
959	35808	1492
960	35864	1455
961	35907	1418
962	35954	1381
963	36000	1344
964	36047	1307
965	36094	1270
966	36136	1233
967	36175	1195
968	36214	1158
969	36252	1121
970	36291	1083
971	36330	1046
972	36368	1009
973	36407	971
974	36448	934
975	36487	897
976	36525	859
977	36564	822
978	36603	785
979	36641	747
980	36679	710
981	36718	673
982	36759	635
983	36797	598
984	36836	560
985	36875	523
986	36914	486
987	36955	448
988	36998	411
989	37039	374
990	37078	336
991	37120	299
992	37160	261
993	37201	224
994	37240	187
995	37279	149
996	37318	112
997	37356	74
998	37394	37
999	37433	0
