iter	MultiClass
272	0.02056208901
273	0.0204467715
274	0.02036317592
275	0.02029423141
276	0.02021021679
277	0.02008682316
278	0.01993403455
279	0.01988381687
280	0.01981154665
281	0.01973805954
282	0.01967543748
283	0.01960617438
284	0.01953457636
285	0.01946848328
286	0.01939997869
287	0.01932697593
288	0.01924104284
289	0.01910795626
290	0.01901276241
291	0.01896267313
292	0.01887584711
293	0.0187947643
294	0.01872859275
295	0.01867997887
296	0.01861715811
297	0.01858173992
298	0.01848741209
299	0.01842694897
300	0.01833387791
301	0.01826923368
302	0.01819162546
303	0.01811901646
304	0.01805267401
305	0.01799246225
306	0.01793902928
307	0.01783719967
308	0.01771058274
309	0.01764402252
310	0.01757253926
311	0.01749192335
312	0.01740004359
313	0.01730516669
314	0.0172649926
315	0.01721520618
316	0.01716110143
317	0.01710172116
318	0.01700404847
319	0.01695467169
320	0.01685568671
321	0.01679647992
322	0.01674415807
323	0.01669306599
324	0.01665790229
325	0.0166114872
326	0.01651786768
327	0.01643132909
328	0.01636842692
329	0.01633086024
330	0.01629512402
331	0.01625864087
332	0.01617625285
333	0.01613190483
334	0.01608880024
335	0.01601162596
336	0.01596498271
337	0.01589525044
338	0.01585096967
339	0.01580484487
340	0.01576433597
341	0.01571202721
342	0.01565090895
343	0.01560294625
344	0.01555054582
345	0.01549856105
346	0.01544933858
347	0.01540441233
348	0.01535859046
349	0.01532835788
350	0.01528800007
351	0.01521705521
352	0.01518287754
353	0.01510801499
354	0.01506134855
355	0.01502572566
356	0.01496799292
357	0.01489177824
358	0.01483878134
359	0.01479536769
360	0.01474229544
361	0.01470422298
362	0.01464208472
363	0.01458991985
364	0.01454021791
365	0.01450242001
366	0.01445303867
367	0.01441041404
368	0.01436882247
369	0.01433755309
370	0.01426832908
371	0.01423877875
372	0.01419844962
373	0.01415998003
374	0.01414025025
375	0.01407178661
376	0.01403804635
377	0.01399733327
378	0.01392407419
379	0.01388259993
380	0.01384095016
381	0.01381946966
382	0.0137779582
383	0.01374203104
384	0.01366560817
385	0.01364513316
386	0.01360871614
387	0.01358195357
388	0.01354651739
389	0.01348037221
390	0.01344495276
391	0.01341057076
392	0.01338600952
393	0.0133563357
394	0.01330322756
395	0.0132738352
396	0.01322679234
397	0.01320091198
398	0.01315662497
399	0.01312101798
400	0.01309121024
401	0.01305251076
402	0.01301315667
403	0.01298353847
404	0.01293706354
405	0.01290841742
406	0.01288494993
407	0.01285413077
408	0.01283144679
409	0.01279264722
410	0.01276577736
411	0.01274013691
412	0.01271236384
413	0.01268172368
414	0.01264304495
415	0.01258092687
416	0.01255106865
417	0.01251107231
418	0.01247944695
419	0.01245750099
420	0.01242742338
421	0.01238621676
422	0.01235928532
423	0.01232795657
424	0.01230404323
425	0.01224489135
426	0.01222327037
427	0.01218289005
428	0.0121665621
429	0.01212163548
430	0.01208907198
431	0.01205875338
432	0.01202934038
433	0.01199323681
434	0.01196901906
435	0.01195180914
436	0.01192561766
437	0.01186169397
438	0.01183974676
439	0.01181779143
440	0.01180022745
441	0.01177124362
442	0.01174630674
443	0.01169233303
444	0.01166532412
445	0.01160969991
446	0.01156929819
447	0.01152988209
448	0.01150812507
449	0.01148051114
450	0.01145405479
451	0.01143415612
452	0.01141040159
453	0.01138437962
454	0.01132254522
455	0.01130159943
456	0.01127568852
457	0.01125989854
458	0.01122894186
459	0.0111858084
460	0.01116159763
461	0.01114244781
462	0.01110907221
463	0.01108324807
464	0.0110502256
465	0.01102786793
466	0.01101113002
467	0.01098805068
468	0.01096566549
469	0.01094013782
470	0.0109081564
471	0.01087927839
472	0.01085077398
473	0.01081231885
474	0.01079156965
475	0.01075477572
476	0.0107166131
477	0.01069202499
478	0.01066464969
479	0.01064815748
480	0.01063479997
481	0.01061738291
482	0.01059591643
483	0.01056818808
484	0.01054962068
485	0.01052363782
486	0.0105065746
487	0.01048086738
488	0.01046169984
489	0.01044427261
490	0.01042792937
491	0.01040400778
492	0.01038364356
493	0.01034968287
494	0.0103326017
495	0.01030788234
496	0.0102775221
